smiles_std,freesolv
CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,-9.41
C=CC1=CC=CC=C1,-1.24
CCOP(=O)(OCC)OCC,-7.5
C(C(F)(F)F)O,-4.31
CCCCOC[C@H](C)O,-5.73
CCCO,-4.85
CC1=CC=CC=C1C,-0.9
CC(C)(C)C,2.51
CCCC#C,0.01
C1=CC=C2C(=C1)C(=O)NC2=O,-9.61
CCCCI,-0.25
CC1=CC=C(C=C1)O,-6.13
CC(C)I,-0.46
COC1=CC=CC=C1O,-5.94
C1CC=CC1,0.56
C[C@H](C(F)(F)F)O,-4.2
CCCN,-4.39
C1=CC=C(C(=C1)[N+](=O)[O-])O,-4.58
CC1=CC=CC2=CC=CC=C12,-2.44
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,-2.33
CCCCC/C=C/C=O,-3.43
CCCCCCC#C,0.71
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,-6.48
CCCCCCCC(=O)OC,-2.04
C1CCNC1,-5.48
C1=CC(=CC=C1C=O)O,-8.83
CCCCCCCCl,0.29
C1COCCO1,-5.06
